date,equity,drawdown
2025-01-01,10049,0
2025-01-08,10114.32,0
2025-01-15,10190.18,0
2025-01-22,10243.17,0
2025-01-29,10330.24,0
2025-02-05,10424.25,0
2025-02-12,10544.13,0
2025-02-19,10670.66,0
2025-02-26,10752.82,0
2025-03-05,10809.81,0
2025-03-12,10902.77,0
2025-03-19,10969.28,0
2025-03-26,10996.7,0
2025-04-02,11106.67,0
2025-04-09,11179.97,0
2025-04-16,11254.88,0
2025-04-23,11367.43,0
2025-04-30,11509.52,0
2025-05-07,11648.79,0
2025-05-14,11797.89,0
2025-05-21,11854.52,0
2025-05-28,11969.51,0
2025-06-04,12099.98,0
2025-06-11,12141.12,0
2025-06-18,12171.47,0
2025-06-25,12298.05,0
2025-07-02,12375.53,0
2025-07-09,12449.78,0
2025-07-16,12494.6,0
2025-07-23,12605.8,0
