date,equity,drawdown
2025-01-01,10111,0
2025-01-08,10149.42,0
2025-01-15,10193.06,0
2025-01-22,10324.55,0
2025-01-29,10445.35,0
2025-02-05,10474.6,0
2025-02-12,10553.16,0
2025-02-19,10676.63,0
2025-02-26,10731.08,0
2025-03-05,10774,0
2025-03-12,10874.2,0
2025-03-19,11013.39,0
2025-03-26,11137.84,0
2025-04-02,11235.85,0
2025-04-09,11262.82,0
2025-04-16,11400.23,0
2025-04-23,11461.79,0
2025-04-30,11493.88,0
2025-05-07,11559.4,0
2025-05-14,11690.02,0
2025-05-21,11838.48,0
2025-05-28,11961.6,0
2025-06-04,12109.92,0
2025-06-11,12240.71,0
2025-06-18,12381.48,0
2025-06-25,12481.77,0
2025-07-02,12521.71,0
2025-07-09,12615.62,0
2025-07-16,12758.18,0
2025-07-23,12901.07,0
