date,equity,drawdown
2025-01-01,10127,0
2025-01-08,10180.67,0
2025-01-15,10207.14,0
2025-01-22,10325.54,0
2025-01-29,10458.74,0
2025-02-05,10592.61,0
2025-02-12,10726.08,0
2025-02-19,10750.75,0
2025-02-26,10888.36,0
2025-03-05,10966.76,0
2025-03-12,11039.14,0
2025-03-19,11098.75,0
2025-03-26,11138.71,0
2025-04-02,11207.77,0
2025-04-09,11287.35,0
2025-04-16,11390.06,0
2025-04-23,11509.66,0
2025-04-30,11638.57,0
2025-05-07,11736.33,0
2025-05-14,11881.86,0
2025-05-21,11978.1,0
2025-05-28,12057.16,0
2025-06-04,12089.71,0
2025-06-11,12161.04,0
2025-06-18,12268.06,0
2025-06-25,12360.07,0
2025-07-02,12468.84,0
2025-07-09,12613.48,0
2025-07-16,12753.49,0
2025-07-23,12901.43,0
