date,equity,drawdown
2025-01-01,10070,0
2025-01-08,10093.16,0
2025-01-15,10192.07,0
2025-01-22,10213.47,0
2025-01-29,10339.1,0
2025-02-05,10405.27,0
2025-02-12,10537.42,0
2025-02-19,10595.38,0
2025-02-26,10650.48,0
2025-03-05,10746.33,0
2025-03-12,10768.9,0
2025-03-19,10842.13,0
2025-03-26,10901.76,0
2025-04-02,11027.13,0
2025-04-09,11050.29,0
2025-04-16,11178.47,0
2025-04-23,11307.02,0
2025-04-30,11378.25,0
2025-05-07,11467,0
2025-05-14,11502.55,0
2025-05-21,11621.03,0
2025-05-28,11727.94,0
2025-06-04,11822.94,0
2025-06-11,11934.08,0
2025-06-18,11999.72,0
2025-06-25,12069.32,0
2025-07-02,12188.81,0
2025-07-09,12285.1,0
2025-07-16,12399.35,0
2025-07-23,12554.34,0
