entry_time,exit_time,side,entry_price,exit_price,pnl,fee
2025-01-01T00:00:00Z,2025-01-04T00:00:00Z,long,40000,40407,0.407,0.04
2025-01-15T00:00:00Z,2025-01-18T00:00:00Z,short,40500,41282,0.782,0.0405
2025-01-29T00:00:00Z,2025-02-01T00:00:00Z,long,41000,41704,0.704,0.041
2025-02-12T00:00:00Z,2025-02-15T00:00:00Z,short,41500,41930,0.43,0.0415
2025-02-26T00:00:00Z,2025-03-01T00:00:00Z,long,42000,42674,0.674,0.042
2025-03-12T00:00:00Z,2025-03-15T00:00:00Z,short,42500,42596,0.096,0.0425
2025-03-26T00:00:00Z,2025-03-29T00:00:00Z,long,43000,43674,0.674,0.043
2025-04-09T00:00:00Z,2025-04-12T00:00:00Z,short,43500,43733,0.233,0.0435
2025-04-23T00:00:00Z,2025-04-26T00:00:00Z,long,44000,43858,-0.142,0.044
2025-05-07T00:00:00Z,2025-05-10T00:00:00Z,short,44500,44718,0.218,0.0445
