date,equity,drawdown
2025-01-01,10025,0
2025-01-08,10094.17,0
2025-01-15,10154.74,0
2025-01-22,10252.23,0
2025-01-29,10284.01,0
2025-02-05,10343.66,0
2025-02-12,10439.86,0
2025-02-19,10556.79,0
2025-02-26,10620.13,0
2025-03-05,10757.13,0
2025-03-12,10798.01,0
2025-03-19,10932.99,0
2025-03-26,11020.45,0
2025-04-02,11132.86,0
2025-04-09,11186.3,0
2025-04-16,11217.62,0
2025-04-23,11252.39,0
2025-04-30,11350.29,0
2025-05-07,11426.34,0
2025-05-14,11572.6,0
2025-05-21,11605,0
2025-05-28,11738.46,0
2025-06-04,11859.37,0
2025-06-11,11890.2,0
2025-06-18,11973.43,0
2025-06-25,12059.64,0
2025-07-02,12198.33,0
2025-07-09,12316.65,0
2025-07-16,12409.02,0
2025-07-23,12565.37,0
