entry_time,exit_time,side,entry_price,exit_price,pnl,fee
2025-01-01T00:00:00Z,2025-01-04T00:00:00Z,long,40000,40084,0.084,0.04
2025-01-15T00:00:00Z,2025-01-18T00:00:00Z,short,40500,41182,0.682,0.0405
2025-01-29T00:00:00Z,2025-02-01T00:00:00Z,long,41000,41064,0.064,0.041
2025-02-12T00:00:00Z,2025-02-15T00:00:00Z,short,41500,41547,0.047,0.0415
2025-02-26T00:00:00Z,2025-03-01T00:00:00Z,long,42000,42565,0.565,0.042
2025-03-12T00:00:00Z,2025-03-15T00:00:00Z,short,42500,42997,0.497,0.0425
2025-03-26T00:00:00Z,2025-03-29T00:00:00Z,long,43000,43443,0.443,0.043
2025-04-09T00:00:00Z,2025-04-12T00:00:00Z,short,43500,44074,0.574,0.0435
2025-04-23T00:00:00Z,2025-04-26T00:00:00Z,long,44000,44645,0.645,0.044
2025-05-07T00:00:00Z,2025-05-10T00:00:00Z,short,44500,44495,-0.005,0.0445
